,Index,Address,City,Clean_Header,Company_Name,Conf_Score,File_List,Header,Text
10,302,7 BROWNELL ST,PROVIDENCE,APARTMENTS AND TOWN HOUSES,Hillcrest Apartments,100.0,['cd1978/entry/1978_Page_72 (2)_51.png'],APARTMENTS AND TOWN HOUSES CONTD,Hillcrest Apartments 7 Brownell St
11,420,36 KENNEDY PLZ,PROVIDENCE,Architects,Lambarghini & Pipka Architects,96.0,"['cd1978/entry/1978_Page_73 (1)_34.png', 'cd1978/entry/1978_Page_73 (1)_35.png']",ARCHITECTS,Lambarghini & Pipka Architects 36 Kennedy Plaza Rm 517
12,427,12 ARNOLD CT,PROVIDENCE,Architects,Read Bruce C,100.0,['cd1978/entry/1978_Page_73 (1)_47.png'],ARCHITECTS,Read Bruce C 12% Arnold St
13,486,48 NORTH K ST,PROVIDENCE,ARTISTS,Halit Hussein,87.5,['cd1978/entry/1978_Page_73 (2)_46.png'],ARTISTS,Halit Hussein 48 N Court St
14,548,36 KENNEDY PLZ,PROVIDENCE,ARTISTS-COMMERCIAL,Kendrick Dave Design,96.0,"['cd1978/entry/1978_Page_73 (3)_29.png', 'cd1978/entry/1978_Page_73 (3)_30.png']",ARTISTS—COMMERCIAL,Kendrick Dave Design 36 Kennedy Plaza Rm 406
15,558,36 KENNEDY PLZ,PROVIDENCE,ARTISTS-COMMERCIAL,Patzer Paul,96.0,['cd1978/entry/1978_Page_73 (3)_42.png'],ARTISTS—COMMERCIAL,Patzer Paul 36 Kennedy Plaza Rm 411
16,559,11 BROOKSIDE AVE,PROVIDENCE,ARTISTS-COMMERCIAL,Peckham Adele M Mrs,100.0,['cd1978/entry/1978_Page_73 (3)_43.png'],ARTISTS—COMMERCIAL,Peckham Adele M Mrs 11 Brookside Av
17,571,1309 TURKS HEAD PL,PROVIDENCE,ATTORNEY,Gardner Sawyer Cottam Gates Day & Sloan *,93.0,"['cd1978/entry/1978_Page_73 (3)_68.png', 'cd1978/entry/1978_Page_73 (3)_69.png', 'cd1978/entry/1978_Page_73 (3)_70.png']",*ATTORNEYS,"Gardner Sawyer Cottam Gates Day & Sloan * 1309 Turks Head Bldg, (02903), Tel 421- 7 5927  id"
18,578,24 MASON AV,PROVIDENCE,AUDIO-VISUAL AIDS,W SB E TV (Board Of Regents),100.0,['cd1978/entry/1978_Page_74 (1)_5.png'],AUDIO—VISUAL AIDS,W SB E TV (Board Of Regents) 24 Mason St
19,598,100 ANGELICO ST,PROVIDENCE,AUTHORS AND COMPOSERS,Simister Florence P Mrs,88.0,['cd1978/entry/1978_Page_74 (1)_26.png'],AUTHORS AND COMPOSERS,Simister Florence P Mrs 100 Angeli St Apt 2
20,640,38 ORIENTAL ST,PROVIDENCE,AUTOMOBILE ACCESSORIES and PARTS -WHOLESALE and JOBBERS,Wholesale Auto Parts Inc,100.0,['cd1978/entry/1978_Page_74 (2)_7.png'],AUTOMOBILE ACCESSORIES AND PARTS— WHOLESALE AND JOBBERS—CONTD,Wholesale Auto Parts Inc 38 Oriental St
21,645,448 DYER ST,PROVIDENCE,AUTOMOBILE BODY REPAIRERS,AMERICAN AUTO BODY INC,100.0,"['cd1978/entry/1978_Page_74 (2)_14.png', 'cd1978/entry/1978_Page_74 (2)_15.png', 'cd1978/entry/1978_Page_74 (2)_16.png']",AUTOMOBILE BODY REPAIRERS,"AMERICAN AUTO BODY INC 448 Dyer Av (Cranston, 02920), Tel 944-9724 Or 944-1134"
22,671,456 FOUNTAIN ST,PROVIDENCE,AUTOMOBILE BODY REPAIRERS,RALPH & SONS AUTO BODY CO,100.0,"['cd1978/entry/1978_Page_74 (2)_52.png', 'cd1978/entry/1978_Page_74 (2)_53.png', 'cd1978/entry/1978_Page_74 (2)_54.png']",AUTOMOBILE BODY REPAIRERS,"RALPH & SONS AUTO BODY CO 456 Fountain St (02903), Tel 621-8899 (See Index To Advertisers)"
23,694,633 WASHINGTON ST,PROVIDENCE,AUTOMOBILE DEALERS,GOLDMAN PAUL DODGE,100.0,"['cd1978/entry/1978_Page_74 (3)_6.png', 'cd1978/entry/1978_Page_74 (3)_7.png', 'cd1978/entry/1978_Page_74 (3)_8.png', 'cd1978/entry/1978_Page_74 (3)_9.png']",AUTOMOBILE DEALERS—CONTD,"GOLDMAN PAUL DODGE 633 Washington St Rt 1 (S Attleboro Mase; 02703), Tel (617) 761-5200 (See Index To Advertisers)"
24,708,446 PUTNAM PIKE,PROVIDENCE,AUTOMOBILE DEALERS,SCUNCIO CHEVROLET INC,89.5,"['cd1978/entry/1978_Page_74 (3)_38.png', 'cd1978/entry/1978_Page_74 (3)_39.png', 'cd1978/entry/1978_Page_74 (3)_40.png']",AUTOMOBILE DEALERS—CONTD,SCUNCIO CHEVROLET INC 446 Putnam Pike Rt 44 (Greenville 02828) Tel 949-2300
25,711,766 BROADWAY,PROVIDENCE,AUTOMOBILE DEALERS,STEINGOLD PONTIAC,100.0,"['cd1978/entry/1978_Page_74 (3)_43.png', 'cd1978/entry/1978_Page_74 (3)_44.png', 'cd1978/entry/1978_Page_74 (3)_45.png']",AUTOMOBILE DEALERS—CONTD,"STEINGOLD PONTIAC 766 Broadway (Pawtucket; 02862), Tel 723-4700 (See Index To Advertisers)"
26,728,734 HARTFORD AVE,PROVIDENCE,AUTOMOBILE DEALERS- USED CARS,Eastern Motors,100.0,['cd1978/entry/1978_Page_74 (3)_71.png'],AUTOMOBILE DEALERS— USED CARS,Eastern Motors 734 Hartford Av
27,761,1332 WEST RIVER PKWY,PROVIDENCE,AUTOMOBILE FINANCING,CHRYSLER CREDIT CORP,81.0,"['cd1978/entry/1978_Page_75 (1)_26.png', 'cd1978/entry/1978_Page_75 (1)_27.png', 'cd1978/entry/1978_Page_75 (1)_28.png']",*AUTOMOBILE FINANCING,"CHRYSLER CREDIT CORP 1332 Fall River Hwy (Seekonk, Ma; 02771), Tel (617) 336-6220"
28,774,27 RAILROAD AVE,PROVIDENCE,Automobile Parking,Depot Parking Grounds,100.0,['cd1978/entry/1978_Page_75 (1)_56.png'],AUTOMOBILE PARKING,Depot Parking Grounds 27 Railroad St
29,800,101 STILLMAN ST,PROVIDENCE,Automobile Parking,Park N Lock,100.0,['cd1978/entry/1978_Page_75 (2)_9.png'],AUTOMOBILE PARKING—CONTD,Park N Lock 101 Stillman St
30,824,633 WASHINGTON ST,PROVIDENCE,AUTOMOBILE RENTING AND LEASING,GOLDMAN PAUL DODGE,100.0,"['cd1978/entry/1978_Page_75 (2)_43.png', 'cd1978/entry/1978_Page_75 (2)_44.png', 'cd1978/entry/1978_Page_75 (2)_45.png', 'cd1978/entry/1978_Page_75 (2)_46.png']",AUTOMOBILE RENTING AND LEASING,"GOLDMAN PAUL DODGE 633 Washington St Rt 1 (S Attleboro Mass; 02703), Tel (617) 761-5200 (See Index To Advertisers)"
31,996,150 GRANITE ST,PROVIDENCE,BANKS,",",100.0,['cd1978/entry/1978_Page_76 (3)_11.png'],BANKS—CONTD PEOPLE'S BANK—CONTD,"Westerly, Te) 596-7741, 150 Granite"
32,1007,2073 SMITH ST,PROVIDENCE,BRANCH OFFICES ATWELLS AVENUE,N PROVIDENCE,100.0,"['cd1978/entry/1978_Page_76 (3)_49.png', 'cd1978/entry/1978_Page_76 (3)_50.png']",BRANCH OFFICES ATWELLS AVENUE,N PROVIDENCE 2073 SMITH ST
33,1009,445 PUTNAM PIKE,PROVIDENCE,BANKS—SAVINGS,",",100.0,['cd1978/entry/1978_Page_76 (3)_76.png'],*BANKS—SAVINGS,"Tel 722-0250, 445 Putnam Pike,"
34,1010,375 WARWICK AV,PROVIDENCE,BANKS—SAVINGS,",",87.0,['cd1978/entry/1978_Page_76 (3)_80.png'],*BANKS—SAVINGS,"Tel 739-9260, 375 Warwick Mall,"
35,1011,36 KENNEDY PLZ,PROVIDENCE,BANKS AND TRUST COMPANIES,American Institute Of Banking Prov Chapter,96.0,"['cd1978/entry/1978_Page_77 (1)_3.png', 'cd1978/entry/1978_Page_77 (1)_4.png']",BANKS AND TRUST COMPANIES,American Institute Of Banking Prov Chapter 36 Kennedy Plaza Rm 412
36,1020,4550 SILVER LAKE AVE,PROVIDENCE,BANKS AND TRUST COMPANIES,-,83.5,['cd1978/entry/1978_Page_77 (1)_31.png'],BANKS AND TRUST COMPANIES,"521-4550, Silver Lake Office 732"
37,1029,4410 WASHINGTON PL,PROVIDENCE,BANKS AND TRUST COMPANIES,-,84.5,['cd1978/entry/1978_Page_77 (2)_12.png'],BANKS AND TRUST COMPANIES CONTD,"847-4410 8 Washington Square,"
38,1030,275 NEWPORT ST,PROVIDENCE,BANKS AND TRUST COMPANIES,",",83.5,['cd1978/entry/1978_Page_77 (2)_21.png'],BANKS AND TRUST COMPANIES CONTD,"Tel 683-1800, 275 Newport Avenue,"
39,1031,1220 POINT STREET BRG,PROVIDENCE,BANKS AND TRUST COMPANIES,",",81.0,['cd1978/entry/1978_Page_77 (2)_26.png'],BANKS AND TRUST COMPANIES CONTD,"828-5330, 1220 Main Street, West"
40,1049,286 MARVIN ST,PROVIDENCE,BANKS AND TRUST COMPANIES,PAWTUCKET TRUST COMPANY AND REGIONAL LIBRARY CENTER,84.0,"['cd1978/entry/1978_Page_77 (2)_53.png', 'cd1978/entry/1978_Page_77 (2)_54.png', 'cd1978/entry/1978_Page_77 (2)_55.png', 'cd1978/entry/1978_Page_77 (2)_56.png']",BANKS AND TRUST COMPANIES CONTD,"PAWTUCKET TRUST COMPANY AND REGIONAL LIBRARY CENTER 286 Main st (Pawtucket, 02860), Tel 724- 5000 (See Index To Advertisers)"
41,1051,445 PUTNAM PIKE,PROVIDENCE,BANKS AND TRUST COMPANIES,",",100.0,['cd1978/entry/1978_Page_77 (2)_69.png'],BANKS AND TRUST COMPANIES CONTD,"Tel 722-0250, 445 Putnam Pike,"
42,1052,375 WARWICK AV,PROVIDENCE,BANKS AND TRUST COMPANIES,",",87.0,['cd1978/entry/1978_Page_77 (2)_73.png'],BANKS AND TRUST COMPANIES CONTD,"Tel 739-9260, 375 Warwick Mall,"
43,1058,501 POINT STREET BRG,PROVIDENCE,CONTD,),80.5,"['cd1978/entry/1978_Page_77 (3)_9.png', 'cd1978/entry/1978_Page_77 (3)_10.png', 'cd1978/entry/1978_Page_77 (3)_11.png']",CONTD,434 SMITH STREET (02908) 501 NORTH MAIN STREET (02904)
44,1096,121 WAVELAND AVE,PROVIDENCE,BARBER SHOPS,Genesis Hair Style For Women & Men,94.5,"['cd1978/entry/1978_Page_77 (3)_66.png', 'cd1978/entry/1978_Page_77 (3)_67.png']",BARBER SHOPS,Genesis Hair Style For Women & Men 121 Wavland Av
45,1267,47 OLNEYVILLE SQ,PROVIDENCE,Beauty Shops,Gallo’s Beauty Salon,100.0,['cd1978/entry/1978_Page_78 (3)_26.png'],BEAUTY SHOPS—CONTD,Gallo’s Beauty Salon 47 Olneyville Sq
46,1349,6 OLNEYVILLE SQ,PROVIDENCE,Beauty Shops,Playgir! Beauty Salon Of Prov,100.0,['cd1978/entry/1978_Page_79 (1)_53.png'],BEAUTY SHOPS—CONTD,Playgir! Beauty Salon Of Prov 6 Olneyville Sq
47,1366,28 OLNEYVILLE SQ,PROVIDENCE,Beauty Shops,Serro’s Beauty Salon,100.0,['cd1978/entry/1978_Page_79 (1)_76.png'],BEAUTY SHOPS—CONTD,Serro’s Beauty Salon 28 Olneyville Sq
48,1498,125 HIGGINS AVE,PROVIDENCE,BUILDING BLOCK MFRS,"CORRADO ANTHONY INC (Concrete And Masslite Blocks),",90.0,"['cd1978/entry/1978_Page_80 (2)_22.png', 'cd1978/entry/1978_Page_80 (2)_23.png', 'cd1978/entry/1978_Page_80 (2)_24.png', 'cd1978/entry/1978_Page_80 (2)_25.png']",*BUILDING BLOCK MFRS,"CORRADO ANTHONY INC (Concrete And Masslite Blocks), 125 Higginson Av (Lincoln 02865) Tel 723-7600 (See Index To Advertisers)"
49,1543,125 CHARLES ST,PROVIDENCE,BUILDINGS-OFFICE AND PUBLIC,Canal House Ofc Bldg,100.0,['cd1978/entry/1978_Page_80 (3)_14.png'],BUILDINGS—OFFICE AND PUBLIC CONTD,Canal House Ofc Bldg 125 Charles St
50,1600,36 OLNEYVILLE SQ,PROVIDENCE,BUILDINGS-OFFICE AND PUBLIC,Irons Block,100.0,['cd1978/entry/1978_Page_80 (3)_87.png'],BUILDINGS—OFFICE AND PUBLIC CONTD,Irons Block 36 Olneyville Sq
51,1669,20 OLNEYVILLE SQ,PROVIDENCE,BUILDINGS-OFFICE AND PUBLIC,Smith Building,100.0,['cd1978/entry/1978_Page_81 (1)_82.png'],BUILDINGS—OFFICE AND PUBLIC,Smith Building 20 Olneyville Sq
52,1683,32 WESTMINSTER ST,PROVIDENCE,BUILDINGS-OFFICE AND PUBLIC,Thirty-Two Westminster Street Building,100.0,"['cd1978/entry/1978_Page_81 (2)_3.png', 'cd1978/entry/1978_Page_81 (2)_4.png']",BUILDINGS—OFFICE AND PUBLIC,Thirty-Two Westminster Street Building 32 Westminster St
53,1685,68 KENNEDY PLZ,PROVIDENCE,BUILDINGS-OFFICE AND PUBLIC,Thompson Building,96.0,['cd1978/entry/1978_Page_81 (2)_6.png'],BUILDINGS—OFFICE AND PUBLIC,Thompson Building 68 Kennedy Plaza
54,1692,30 OLNEYVILLE SQ,PROVIDENCE,BUILDINGS-OFFICE AND PUBLIC,Wales Building,100.0,['cd1978/entry/1978_Page_81 (2)_15.png'],BUILDINGS—OFFICE AND PUBLIC,Wales Building 30 Olneyville Sq
55,1707,44 LEADING ST,PROVIDENCE,BURGLAR AND FIRE ALARM SYSTEMS,HOME & COMMERCIAL SECURITY,80.0,"['cd1978/entry/1978_Page_81 (2)_36.png', 'cd1978/entry/1978_Page_81 (2)_37.png', 'cd1978/entry/1978_Page_81 (2)_38.png']",BURGLAR AND FIRE ALARM SYSTEMS,"HOME & COMMERCIAL SECURITY 44 Blanding Rd, (Rehoboth Mass, 02769), Tel 33¢-8833"
56,1747,3 TOWER ST,PROVIDENCE,CABINETMAKERS,Westcott Edward C Cabinet Maker,92.5,"['cd1978/entry/1978_Page_81 (3)_13.png', 'cd1978/entry/1978_Page_81 (3)_14.png']",CABINETMAKERS,Westcott Edward C Cabinet Maker 3 Towner St
57,1790,1155 WEST ST,PROVIDENCE,CASTING MFRS,Danish Silveramith Inc The,100.0,"['cd1978/entry/1978_Page_82 (1)_7.png', 'cd1978/entry/1978_Page_82 (1)_8.png']",CASTING MFRS,Danish Silveramith Inc The 1155 W
58,1798,43 DYERVILLE AV,PROVIDENCE,CASTING MFRS,JAY INC,100.0,"['cd1978/entry/1978_Page_82 (1)_19.png', 'cd1978/entry/1978_Page_82 (1)_20.png']",CASTING MFRS,"JAY INC 43 Dyerville Av 02919), Tel 361-0100"
59,1801,13 DESOTO ST,PROVIDENCE,CASTING MFRS,Lajon Castings Inc,87.5,['cd1978/entry/1978_Page_82 (1)_23.png'],CASTING MFRS,Lajon Castings Inc 13 De Soto St
60,1839,3 DAGGETT CT,PROVIDENCE,INC,NOTRE DAME Y,80.5,"['cd1978/entry/1978_Page_82 (2)_18.png', 'cd1978/entry/1978_Page_82 (2)_19.png', 'cd1978/entry/1978_Page_82 (2)_20.png']",INC,"NOTRE DAME  Y 3%9 Deggett Av (Pawtucket, R I; 62861), Tel (401) 725-1333"
61,1843,401 RESERVOIR AVE,PROVIDENCE,INC,Te.nple Beth E?} Cemetery,100.0,['cd1978/entry/1978_Page_82 (2)_30.png'],INC,Te.nple Beth E?} Cemetery 401 Reservoir Av
62,1844,87 PUTNAM PIKE,PROVIDENCE,CERAMIC PRODUCTS,CERAMIC CITY INC,89.5,"['cd1978/entry/1978_Page_82 (2)_33.png', 'cd1978/entry/1978_Page_82 (2)_34.png', 'cd1978/entry/1978_Page_82 (2)_35.png']",CERAMIC PRODUCTS,"CERAMIC CITY INC 87 Putnam Pike, 02919), Tel (401) 231-"
63,1848,100 BECKER AVE,PROVIDENCE,Chain Mfrs,CONCORD MANUFACTURING CORP,91.0,"['cd1978/entry/1978_Page_82 (2)_41.png', 'cd1978/entry/1978_Page_82 (2)_42.png']",CHAIN MFRS,"CONCORD MANUFACTURING CORP 100 Beker St (02905), Tel 461-1329"
64,1858,506 BENEFIT ST,PROVIDENCE,CHEMICAL DEALERS,Organic Chemical Corp,100.0,['cd1978/entry/1978_Page_82 (3)_2.png'],CHEMICAL DEALERS,Organic Chemical Corp 506 Benefit St.
65,1871,02903 TELL ST,PROVIDENCE,Chemicals-Whol,MANN GEORGE & CO INC Municipal Bivd (,86.0,"['cd1978/entry/1978_Page_82 (3)_19.png', 'cd1978/entry/1978_Page_82 (3)_20.png', 'cd1978/entry/1978_Page_82 (3)_21.png']",CHEMICALS—WHOL,"MANN GEORGE & CO INC Municipal Bivd (02903), Tel"
66,1908,430 WEYBOSSET ST,PROVIDENCE,CHURCHES AND SYNAGOGUES,Cathedral Of Saints Peter & Paul,90.5,"['cd1978/entry/1978_Page_83 (1)_9.png', 'cd1978/entry/1978_Page_83 (1)_10.png']",CHURCHES AND SYNAGOGUES—CONTD,Cathedral Of Saints Peter & Paul 430 Weyboaset St
67,2044,206 CAMDEN AVE,PROVIDENCE,CLEANERS and DYERS,Eagle Cleansers,100.0,['cd1978/entry/1978_Page_83 (3)_31.png'],CLEANERS AND DYERS,Eagle Cleansers 206 Camden Av
68,2173,92 SHOVE ST,PROVIDENCE,CLERGYMEN,Iannone Raphael Rev,91.0,['cd1978/entry/1978_Page_84 (1)_81.png'],CLERGYMEN,Iannone Raphael Rev 92 Hove St
69,2182,54 DELMAR ST,PROVIDENCE,CLERGYMEN,Knorr James W Rev,100.0,['cd1978/entry/1978_Page_84 (2)_2.png'],CLERGYMEN—CONTD,Knorr James W Rev 54 Delmar Av
70,2183,901 ATWELLS AVE,PROVIDENCE,CLERGYMEN,Lambert Joseph J Rev,100.0,['cd1978/entry/1978_Page_84 (2)_3.png'],CLERGYMEN—CONTD,Lambert Joseph J Rev 901 Atwells Av
71,2267,1 RANDALL SQ,PROVIDENCE,CLINICS,Biofeedback Center,83.5,['cd1978/entry/1978_Page_84 (2)_88.png'],CLINICS,Biofeedback Center 1 Randall Sq Suite 302
72,2274,1 RANDALL SQ,PROVIDENCE,CLINICS,Moshassuck Medical Center,100.0,['cd1978/entry/1978_Page_84 (3)_5.png'],CLINICS—CONTD,Moshassuck Medical Center 1 Randall Sq
73,2347,2 WAYLAND SQ,PROVIDENCE,CLOTHING-RETAIL,Olevson Helen Inc,100.0,['cd1978/entry/1978_Page_85 (1)_48.png'],CLOTHING—RETAIL—CONTD,Olevson Helen Inc 2 Wayland Sq
74,2358,3 OLNEYVILLE SQ,PROVIDENCE,CLOTHING-RETAIL,Sam’s Clothes Shop,100.0,['cd1978/entry/1978_Page_85 (1)_61.png'],CLOTHING—RETAIL—CONTD,Sam’s Clothes Shop 3 Olneyville Sq
75,2366,50 OLNEYVILLE SQ,PROVIDENCE,CLOTHING-RETAIL,Trader Dick Prep Shop,100.0,['cd1978/entry/1978_Page_85 (1)_73.png'],CLOTHING—RETAIL—CONTD,Trader Dick Prep Shop 50 Olneyville Sq
76,2392,20 WESTMINSTER ST,PROVIDENCE,Clubs,Automobile Club Of Rhode Island,100.0,"['cd1978/entry/1978_Page_85 (2)_10.png', 'cd1978/entry/1978_Page_85 (2)_11.png']",CLUBS,Automobile Club Of Rhode Island 20 Westminster St
77,2529,1848 SMITH ST,PROVIDENCE,SUPPLIES AND EQUIPMENT,Fanny Farmer Candies,100.0,"['cd1978/entry/1978_Page_86 (1)_47.png', 'cd1978/entry/1978_Page_86 (1)_48.png']",CONFECTIONERS’ SUPPLIES AND EQUIPMENT,Fanny Farmer Candies 1848 Smith St (N
78,2559,36 OLNEYVILLE SQ,PROVIDENCE,CONSULTANTS,Junction Human Service Corp The,100.0,"['cd1978/entry/1978_Page_86 (2)_31.png', 'cd1978/entry/1978_Page_86 (2)_32.png']",CONSULTANTS—CONTD,Junction Human Service Corp The 36 Olneyville Sq Rm 1
79,2626,90 CALVERLY ST,PROVIDENCE,CONTRACTORS-BUILDING- GENERAL ,GILBANE BUILDING. COMPANY,95.0,"['cd1978/entry/1978_Page_86 (3)_55.png', 'cd1978/entry/1978_Page_86 (3)_56.png']",CONTRACTORS—BUILDING— GENERAL,"GILBANE BUILDING. COMPANY 90 Calverley St (02908), Tel 751-2700"
80,2633,80 GLOBE ST,PROVIDENCE,CONTRACTORS-BUILDING- GENERAL ,Leeming A H & Sons Of Rhode Island Inc,100.0,"['cd1978/entry/1978_Page_86 (3)_71.png', 'cd1978/entry/1978_Page_86 (3)_72.png']",CONTRACTORS—BUILDING— GENERAL,Leeming A H & Sons Of Rhode Island Inc 80 Globe St
81,2655,38 NORTH K ST,PROVIDENCE,CONTRACTORS-BUILDING- GENERAL ,Sterling Engineering & Construction Co Inc,87.5,"['cd1978/entry/1978_Page_87 (1)_19.png', 'cd1978/entry/1978_Page_87 (1)_20.png']",CONTRACTORS—BUILDING— GENERAL CONTD,Sterling Engineering & Construction Co Inc 38 N Court St
82,2825,90 DEPINEDO ST,PROVIDENCE,CONTRACTORS-MASON,Pirolli Rugiero A,91.0,['cd1978/entry/1978_Page_87 (3)_58.png'],CONTRACTORS—MASON,Pirolli Rugiero A 90 De Pinedo St
83,2847,51 DEPINEDO ST,PROVIDENCE,CONTRACTORS-PAINTING AND DECORATING,Caputo James Painting Co,91.0,['cd1978/entry/1978_Page_87 (3)_79.png'],CONTRACTORS—PAINTING AND DECORATING,Caputo James Painting Co 51 De Pinedo St ©
84,2861,15 MARIA AVE,PROVIDENCE,CONTRACTORS-PAINTING AND DECORATING,De Cesare Anthony C,100.0,['cd1978/entry/1978_Page_88 (1)_12.png'],CONTRACTORS—PAINTING AND DECORATING—CONTD,De Cesare Anthony C 15 Maria Av
85,2874,42 DESOTO ST,PROVIDENCE,CONTRACTORS-PAINTING AND DECORATING,- Gentile Mario E,87.5,['cd1978/entry/1978_Page_88 (1)_25.png'],CONTRACTORS—PAINTING AND DECORATING—CONTD,- Gentile Mario E 42 De Soto St
86,3059,28 BISHOP HILL RD,PROVIDENCE,COSTUME JEWELRY,Rankin Harold Inc,85.5,['cd1978/entry/1978_Page_89 (1)_59.png'],COSTUME JEWELRY,Rankin Harold Inc 28 Bishop St
87,3063,101 MARVIN ST,PROVIDENCE,CREDIT BUREAUS,C T 1 REPORTS,84.0,"['cd1978/entry/1978_Page_89 (1)_69.png', 'cd1978/entry/1978_Page_89 (1)_70.png', 'cd1978/entry/1978_Page_89 (1)_71.png']",*CREDIT BUREAUS,"C T 1 REPORTS 101 Main St (Pawtucket, 02860), Tel 723-2819 (See Index To Advertisers)"
88,3071,1052 PARK ST,PROVIDENCE,CREDIT UNIONS,PROVIDENCE TEACHERS CREDIT UNION,100.0,"['cd1978/entry/1978_Page_89 (2)_35.png', 'cd1978/entry/1978_Page_89 (2)_36.png', 'cd1978/entry/1978_Page_89 (2)_37.png', 'cd1978/entry/1978_Page_89 (2)_38.png']",CREDIT UNIONS,"PROVIDENCE TEACHERS CREDIT UNION 1052 Park Av, (Cranston; 02910), Tel 944-6783 (See Index To Advertisers)"
89,3114,39 BISHOP HILL RD,PROVIDENCE,Dairy Products-Wholesale,New Vermont Creamery Co,85.5,['cd1978/entry/1978_Page_89 (3)_30.png'],DAIRY PRODUCTS—WHOL,New Vermont Creamery Co 39 Bishop St
90,3143,102 PATERSON ST,PROVIDENCE,DAY NURSERIES,Lincoln Nursery School,100.0,['cd1978/entry/1978_Page_90 (1)_10.png'],DAY NURSERIES,Lincoln Nursery School 102 Paterson St
91,3286,1 RANDALL SQ,PROVIDENCE,Dentists,Siegel Jason C,83.5,['cd1978/entry/1978_Page_90 (3)_15.png'],DENTISTS—CONTD,Siegel Jason C 1 Randall Sq Suite 405
92,3300,30 OLNEYVILLE SQ,PROVIDENCE,Dentists,Wasilewski Edw J,100.0,['cd1978/entry/1978_Page_90 (3)_31.png'],DENTISTS—CONTD,Wasilewski Edw J 30 Olneyville Sq Rm 2
93,3317,52 OLNEYVILLE SQ,PROVIDENCE,DEPARTMENT STORES,People’s Department Store,100.0,['cd1978/entry/1978_Page_90 (3)_59.png'],DEPARTMENT STORES,People’s Department Store 52 Olneyville Sq
94,3476,36 KENNEDY PLZ,PROVIDENCE,DUPLICATING MACHINES,Adstat Service Co,96.0,['cd1978/entry/1978_Page_91 (3)_44.png'],DUPLICATING MACHINES AND SUPPLIES,Adstat Service Co 36 Kennedy Plaza Rm 200
