,Drop_Reason,File_List,Street,Text
26,"SCORE LESS THAN CUTOFF: 1,50.0,PROVIDENCE","['cd1978/entry/1978_Page_75 (3)_75.png', 'cd1978/entry/1978_Page_75 (3)_76.png', 'cd1978/entry/1978_Page_75 (3)_77.png', 'cd1978/entry/1978_Page_75 (3)_78.png']",1ST ST,"431 HOWARD STREET DETROIT, MICHIGAN 48231 TELEPHONE (313) 961-9470"
27,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_76 (1)_14.png'],N/A,POLK R L & CO
28,"SCORE LESS THAN CUTOFF: 1,50.0,PROVIDENCE","['cd1978/entry/1978_Page_76 (1)_16.png', 'cd1978/entry/1978_Page_76 (1)_17.png', 'cd1978/entry/1978_Page_76 (1)_18.png']",1ST ST,"431 HOWARD STREET DETROIT, MICHIGAN 48231 TELEPHONE (313) 961-9470"
29,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_76 (1)_68.png'],N/A,
30,"SCORE LESS THAN CUTOFF: ELM HILL PIKE PO BOX 17307 NASHVILLE, TENNESSEE 37217,49.5,PROVIDENCE","['cd1978/entry/1978_Page_76 (2)_58.png', 'cd1978/entry/1978_Page_76 (2)_59.png', 'cd1978/entry/1978_Page_76 (2)_60.png', 'cd1978/entry/1978_Page_76 (2)_61.png', 'cd1978/entry/1978_Page_76 (2)_62.png']",OLD SIMMONSVILLE RD,"POLK R L & CO 2001 ELM HILL PIKE PO BOX 17307 NASHVILLE, TENNESSEE 37217 TELEPHONE (615) 889-3350"
31,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_76 (2)_80.png'],N/A,"Av, East Providence, Tel 434-6100,"
32,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_76 (2)_81.png'],N/A,"1400 Hartford Av, Johnston, Tel 861-"
33,"SCORE LESS THAN CUTOFF: Post Rd, North Kingston,,76.5,PROVIDENCE",['cd1978/entry/1978_Page_76 (3)_3.png'],KINGSTON AVE,"1677, 6633 Post Rd, North Kingston,"
34,"SCORE LESS THAN CUTOFF: Main St, Pawtucket,,69.0,PROVIDENCE",['cd1978/entry/1978_Page_76 (3)_4.png'],PAWTUXET AV,"Tel 884-1388, 200 Main St, Pawtucket,"
35,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_76 (3)_12.png'],N/A,"St, Westerly, Tel 596-0168 (See Index"
36,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_76 (3)_13.png'],N/A,To Advertisers)
37,EMPTY STREET,"['cd1978/entry/1978_Page_76 (3)_32.png', 'cd1978/entry/1978_Page_76 (3)_33.png', 'cd1978/entry/1978_Page_76 (3)_34.png']",,215 ATWELLS AV  582 ELMWOOD AV
38,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_76 (3)_51.png'],N/A,RHODE ISLAND
39,ERROR IN STREET MATCHING,"['cd1978/entry/1978_Page_76 (3)_54.png', 'cd1978/entry/1978_Page_76 (3)_55.png', 'cd1978/entry/1978_Page_76 (3)_56.png', 'cd1978/entry/1978_Page_76 (3)_57.png', 'cd1978/entry/1978_Page_76 (3)_58.png', 'cd1978/entry/1978_Page_76 (3)_59.png']",02903),1 HOSPITAL TRUST PLAZA (02903) TELEPHONE 278-8000 10 DORRANCE STREET (02903) 238 THAYER STREET (02906) 1 OLNEYVILLE SQUARE (02908) 434 SMITH STREET (02908)
40,ERROR IN STREET MATCHING,['cd1978/entry/1978_Page_76 (3)_60.png'],02903),244 WEYBOSSET STREET (02903)
41,ERROR IN STREET MATCHING,['cd1978/entry/1978_Page_76 (3)_61.png'],02904),501 N MAIN STREET (02904)
42,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_76 (3)_72.png'],N/A,"Av, East Providence, Tel 434-6100,"
43,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_76 (3)_73.png'],N/A,"1400 Hartford Av, Johnston, Tel 861-"
44,"SCORE LESS THAN CUTOFF: Post Rd, North Kingston,,76.5,PROVIDENCE",['cd1978/entry/1978_Page_76 (3)_74.png'],KINGSTON AVE,"1677, 6633 Post Rd, North Kingston,"
45,"SCORE LESS THAN CUTOFF: Main St, Pawtucket,,69.0,PROVIDENCE",['cd1978/entry/1978_Page_76 (3)_75.png'],PAWTUXET AV,"Tel 884-1388, 200 Main St, Pawtucket,"
46,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_76 (3)_77.png'],N/A,"Smithfield, Tel 231-1400, 1300"
47,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_76 (3)_78.png'],N/A,"Warwick Av, Warwick, Tel 463-8700,"
48,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_76 (3)_79.png'],N/A,"T F Green State Airport, Warwick,"
49,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_76 (3)_81.png'],N/A,"Warwick, Tel 738-7700, 2 High St,"
50,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_76 (3)_82.png'],N/A,"Westerly, Tel 596-7741, 150 Granite"
51,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_76 (3)_83.png'],N/A,"St, Westerly, Tel 596-0168 (See Index"
52,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_76 (3)_84.png'],N/A,To Advertisers)
53,ERROR IN STREET MATCHING,['cd1978/entry/1978_Page_77 (1)_32.png'],"02909),","Plainfield St (02909), Tel 944-6800,"
54,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_77 (1)_35.png'],N/A,COLUMBUS NATIONAL
55,ERROR IN STREET MATCHING,"['cd1978/entry/1978_Page_77 (1)_39.png', 'cd1978/entry/1978_Page_77 (1)_40.png', 'cd1978/entry/1978_Page_77 (1)_41.png', 'cd1978/entry/1978_Page_77 (1)_42.png', 'cd1978/entry/1978_Page_77 (1)_43.png']",02903),(02903) TELEPHONE 751-9200 591 CHARLES ST (02904) TELEPHONE 861-0250
56,EMPTY STREET,"['cd1978/entry/1978_Page_77 (1)_44.png', 'cd1978/entry/1978_Page_77 (1)_45.png']",,131 ELMGROVE AV (02906)
57,"SCORE LESS THAN CUTOFF: -5320,29.0,PROVIDENCE",['cd1978/entry/1978_Page_77 (1)_46.png'],I 95,TELEPHONE 351-5320
58,EMPTY STREET,"['cd1978/entry/1978_Page_77 (1)_47.png', 'cd1978/entry/1978_Page_77 (1)_48.png']",,280 ATWELLS AV (02903)
59,"SCORE LESS THAN CUTOFF: -3244,29.0,PROVIDENCE",['cd1978/entry/1978_Page_77 (1)_49.png'],2ND ST,TELEPHONE 421-3244
60,EMPTY STREET,"['cd1978/entry/1978_Page_77 (1)_50.png', 'cd1978/entry/1978_Page_77 (1)_51.png']",,1925 MINERAL SPRING AV NORTH PROVIDENCE (02911)
61,"SCORE LESS THAN CUTOFF: -1000,50.0,PROVIDENCE","['cd1978/entry/1978_Page_77 (1)_52.png', 'cd1978/entry/1978_Page_77 (1)_53.png']",10TH ST,TELEPHONE 353-1000 (See Index To Advertisers)
62,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_77 (2)_3.png'],N/A,OLD COLONY CO-OPERATIVE BANK
63,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_77 (2)_4.png'],N/A,"58 Weybosset Street, Tel 831-7900, 270"
64,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_77 (2)_5.png'],N/A,"Westminster Mall, Tel 831-7900 19"
65,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_77 (2)_6.png'],N/A,"South Angell Street, Tel 221-2243 175"
66,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_77 (2)_7.png'],N/A,"Hillside Road, Cranston, Tel 944-3100"
67,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_77 (2)_8.png'],N/A,"60 Mendon Road, Cumberland, Tel"
68,"SCORE LESS THAN CUTOFF: Main Street, East Greenwich,,75.5,PROVIDENCE","['cd1978/entry/1978_Page_77 (2)_9.png', 'cd1978/entry/1978_Page_77 (2)_10.png', 'cd1978/entry/1978_Page_77 (2)_11.png']",GREENWICH ST,"726-1600, 821 Main Street, East Greenwich, Tel 884-7900, Aquidneck Shopping Center, Middletown, Tel"
69,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_77 (2)_13.png'],N/A,"Newport, Tel 847-4410, 192 Bellevue"
70,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_77 (2)_14.png'],N/A,"Avenue, Newport, Tel 849-6444 199"
71,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_77 (2)_15.png'],N/A,"Connell Highway, Newport, Tel 849-"
72,"SCORE LESS THAN CUTOFF: Waterman Avenue, North,77.5,PROVIDENCE",['cd1978/entry/1978_Page_77 (2)_16.png'],WATERMAN ST,"5545. 11 Waterman Avenue, North"
73,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_77 (2)_17.png'],N/A,"Providence, Tel 231-7900, 171 Main"
74,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_77 (2)_18.png'],N/A,"Street, Pawtucket, Tel 722-7300, 335"
75,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_77 (2)_19.png'],N/A,"Main Street, Pawtucket, Tel 724-7900,"
76,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_77 (2)_20.png'],N/A,"3040 East Main Road, Portemouth,"
77,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_77 (2)_22.png'],N/A,"Rumford, Tel 438-4844, Dale Carlia"
78,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_77 (2)_23.png'],N/A,"Corner. Wakefield, Tel 783-3392, 1600"
79,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_77 (2)_24.png'],N/A,"Warwick Avenue, Warwick, Tel 739-"
80,"SCORE LESS THAN CUTOFF: Midland Mall, Warwick, Tel,58.0,PROVIDENCE",['cd1978/entry/1978_Page_77 (2)_25.png'],RHODE ISLAND COLL,"1600, 140 Midland Mall, Warwick, Tel"
81,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_77 (2)_27.png'],N/A,"Warwick, Tel 821-7900, 1675 Diamond"
82,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_77 (2)_28.png'],N/A,"Hill Road, Woonsocket, Tel 766-8500,"
83,FAILED TO PARSE AN ADDRESS,"['cd1978/entry/1978_Page_77 (2)_29.png', 'cd1978/entry/1978_Page_77 (2)_30.png']",N/A,"141 Main Street, Woonsocket, Tel 769-7900 (See Index To Advertisers)"
84,FAILED TO PARSE AN ADDRESS,"['cd1978/entry/1978_Page_77 (2)_57.png', 'cd1978/entry/1978_Page_77 (2)_58.png', 'cd1978/entry/1978_Page_77 (2)_59.png', 'cd1978/entry/1978_Page_77 (2)_60.png', 'cd1978/entry/1978_Page_77 (2)_61.png', 'cd1978/entry/1978_Page_77 (2)_62.png', 'cd1978/entry/1978_Page_77 (2)_63.png', 'cd1978/entry/1978_Page_77 (2)_64.png', 'cd1978/entry/1978_Page_77 (2)_65.png']",N/A,PEOPLE'S BANK Main Office: Kennedy
85,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_77 (2)_66.png'],N/A,"1400 Hartford Av, Johnston, Tel 861-"
86,"SCORE LESS THAN CUTOFF: Post Rd, North Kingston,,76.5,PROVIDENCE",['cd1978/entry/1978_Page_77 (2)_67.png'],KINGSTON AVE,"1677, 6633 Post Rd, North Kingston,"
87,"SCORE LESS THAN CUTOFF: Main St, Pawtucket,,69.0,PROVIDENCE",['cd1978/entry/1978_Page_77 (2)_68.png'],PAWTUXET AV,"Tel 884-1388, 200 Main St, Pawtucket,"
88,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_77 (2)_70.png'],N/A,"Smithfield, Tel 231-1400, 1300"
89,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_77 (2)_71.png'],N/A,"Warwick Av, Warwick, Tel 463-8700,"
90,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_77 (2)_72.png'],N/A,"T F Green State Airport, Warwick,"
91,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_77 (2)_74.png'],N/A,"Warwick, Tel 738-7700, 2 High St,"
92,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_77 (2)_75.png'],N/A,"Westerly, Tel 596-7741, 150 Granite"
93,FAILED TO PARSE AN ADDRESS,"['cd1978/entry/1978_Page_77 (2)_76.png', 'cd1978/entry/1978_Page_77 (2)_77.png']",N/A,"St, Westerly, Tel 596-0168 (See Index To Advertisers)"
94,"SCORE LESS THAN CUTOFF: Howard Bldg,76.0,PROVIDENCE","['cd1978/entry/1978_Page_77 (2)_79.png', 'cd1978/entry/1978_Page_77 (2)_80.png']",NORTH HOWARD AVE,People’s Savings Bank & Trust Co (Mortgage Dept) 240 Howard Bldg
95,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_77 (2)_86.png'],N/A,RHODE ISLAND
96,ERROR IN STREET MATCHING,"['cd1978/entry/1978_Page_77 (2)_90.png', 'cd1978/entry/1978_Page_77 (2)_91.png', 'cd1978/entry/1978_Page_77 (2)_92.png']",02903),(02903) TELEPHONE 278-8000 10 DORRANCE STREET (02903)
97,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_77 (3)_1.png'],N/A,BDAINRD AINY £EUOS. Vues casveemw
98,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_77 (3)_3.png'],N/A,RHODE ISLAND HOSPITAL TRUST
99,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_77 (3)_4.png'],N/A,NATIONAL BANK—CONTD
100,ERROR IN STREET MATCHING,['cd1978/entry/1978_Page_77 (3)_5.png'],02903),244 WEYBOSSET STREET (02903)
101,EMPTY STREET,['cd1978/entry/1978_Page_77 (3)_6.png'],,238 THAYER ST (02906)
102,ERROR IN STREET MATCHING,['cd1978/entry/1978_Page_77 (3)_7.png'],02909),1 OLNEYVILLE SQ (02909)
103,"SCORE LESS THAN CUTOFF: -8070,29.0,PROVIDENCE",['cd1978/entry/1978_Page_77 (3)_8.png'],7TH ST,TELEPHONE 278-8070
104,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_77 (3)_12.png'],N/A,RHODE ISLAND HOSPITAL
105,ERROR IN STREET MATCHING,['cd1978/entry/1978_Page_77 (3)_14.png'],02902),593 EDDY STREET (02902)
106,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_77 (3)_14.png'],N/A,PROVIDENCE COLLEGE OFFICE
107,ERROR IN STREET MATCHING,['cd1978/entry/1978_Page_77 (3)_15.png'],02918),SLAVIN CENTER (02918)
108,FAILED TO PARSE AN ADDRESS,"['cd1978/entry/1978_Page_77 (3)_16.png', 'cd1978/entry/1978_Page_77 (3)_17.png']",N/A,(See Index To Advertisers) BAR FIXTURES AND
109,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_78 (1)_88.png'],N/A,SERVICE
110,"SCORE LESS THAN CUTOFF: Haircutting 220 Waterman St,58.0,PROVIDENCE",['cd1978/entry/1978_Page_79 (1)_71.png'],WHITING ST,Salon 220 Haircutting 220 Waterman St
111,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_79 (3)_3.png'],N/A,
112,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_79 (3)_21.png'],N/A,
113,"SCORE LESS THAN CUTOFF: Pomfret St,71.5,PROVIDENCE",['cd1978/entry/1978_Page_79 (3)_67.png'],SOMERSET ST,Abraams Philip Inc 1 Pomfret St  ~ he
114,"SCORE LESS THAN CUTOFF: th FI,65.0,PROVIDENCE","['cd1978/entry/1978_Page_80 (1)_55.png', 'cd1978/entry/1978_Page_80 (1)_56.png']",4TH ST,Hutton E F Company Inc One Hosp Trust Plaza 24th FI
115,"SCORE LESS THAN CUTOFF: th FI,65.0,PROVIDENCE","['cd1978/entry/1978_Page_80 (1)_60.png', 'cd1978/entry/1978_Page_80 (1)_61.png']",4TH ST,Merrill Lynch Pierce Fenner & Smith Inc One Hosp Trust Plaza 14th FI
116,"SCORE LESS THAN CUTOFF: th FI,65.0,PROVIDENCE","['cd1978/entry/1978_Page_80 (1)_65.png', 'cd1978/entry/1978_Page_80 (1)_66.png']",4TH ST,Paine Webber Jackson & Curtis Inc One Hosp Trust Plaza 15th FI
117,"SCORE LESS THAN CUTOFF: Howard Bidg,76.0,PROVIDENCE",['cd1978/entry/1978_Page_80 (1)_69.png'],NORTH HOWARD AVE,Reiser Milton P Co Inc 320 Howard Bidg
118,"SCORE LESS THAN CUTOFF: th Fi,65.0,PROVIDENCE","['cd1978/entry/1978_Page_80 (1)_71.png', 'cd1978/entry/1978_Page_80 (1)_72.png']",4TH ST,White Weld & Co Inc One Hosp Trust Plaza 18th Fi
119,"SCORE LESS THAN CUTOFF: One Hospital Trust Plaza,75.0,PROVIDENCE","['cd1978/entry/1978_Page_80 (3)_79.png', 'cd1978/entry/1978_Page_80 (3)_80.png', 'cd1978/entry/1978_Page_80 (3)_81.png', 'cd1978/entry/1978_Page_80 (3)_82.png']",HOSPITAL ST,HOSPITAL TRUST TOWER-HOSPITAL TRUST BUILDING Rental Office Suite 810 One Hospital Trust Plaza (02903) Tel 278-8193
120,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_81 (1)_2.png'],N/A,
121,FAILED TO PARSE AN ADDRESS,"['cd1978/entry/1978_Page_81 (1)_30.png', 'cd1978/entry/1978_Page_81 (1)_31.png']",N/A,New England Telephone Co Bldg 234 Washington St
122,FAILED TO PARSE AN ADDRESS,"['cd1978/entry/1978_Page_81 (1)_63.png', 'cd1978/entry/1978_Page_81 (1)_64.png']",N/A,Rhode Island Hospital Trust Nat] Bank Building One Hosp Trust Plaza
123,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_81 (2)_2.png'],N/A,
124,"SCORE LESS THAN CUTOFF: Braemore Way,71.5,PROVIDENCE","['cd1978/entry/1978_Page_81 (2)_71.png', 'cd1978/entry/1978_Page_81 (2)_72.png', 'cd1978/entry/1978_Page_81 (2)_73.png', 'cd1978/entry/1978_Page_81 (2)_74.png']",BELMORE RD,"A B DICK COMPANY 1 Braemore Way (Warwick; 02887), Sales Tel 738-8400, Service Tel 738-8450 (See Index To Advertisers)"
125,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_81 (3)_1.png'],N/A,
126,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_81 (3)_25.png'],N/A,
127,"SCORE LESS THAN CUTOFF: Pomfret St,71.5,PROVIDENCE",['cd1978/entry/1978_Page_81 (3)_72.png'],SOMERSET ST,Stiller Carpet Co 9 Pomfret St
128,"SCORE LESS THAN CUTOFF: Charies St, Bidg 6,68.0,PROVIDENCE","['cd1978/entry/1978_Page_82 (1)_31.png', 'cd1978/entry/1978_Page_82 (1)_32.png', 'cd1978/entry/1978_Page_82 (1)_33.png']",CHARLES ST,"CASTING COMPANY 387 Charies St, Bidg 6 (02904), Tel (401) 331-0669"
129,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_82 (2)_6.png'],N/A,CATHOLIC
130,ERROR IN STREET MATCHING,"['cd1978/entry/1978_Page_82 (2)_8.png', 'cd1978/entry/1978_Page_82 (2)_9.png', 'cd1978/entry/1978_Page_82 (2)_10.png']",62903),CATHEDRAL SQUARE (62903)
131,EMPTY STREET,"['cd1978/entry/1978_Page_82 (2)_13.png', 'cd1978/entry/1978_Page_82 (2)_14.png', 'cd1978/entry/1978_Page_82 (2)_15.png']",,"HIGHLAND MEMORIAL PARK Rhode Island Av ( 02919), Tel 231- 1440 (See Index To Advertisers)"
132,ERROR IN STREET MATCHING,"['cd1978/entry/1978_Page_82 (2)_27.png', 'cd1978/entry/1978_Page_82 (2)_28.png', 'cd1978/entry/1978_Page_82 (2)_29.png']","02906),","SWAN POINT  (02906), Tel 272-1314 (See Index To"
133,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_82 (2)_32.png'],N/A,a
134,"SCORE LESS THAN CUTOFF: Howard Bldg,76.0,PROVIDENCE",['cd1978/entry/1978_Page_82 (2)_60.png'],NORTH HOWARD AVE,Superfan Of America Inc 842 Howard Bldg
135,"SCORE LESS THAN CUTOFF: Howard Bldg,76.0,PROVIDENCE",['cd1978/entry/1978_Page_82 (3)_8.png'],NORTH HOWARD AVE,Cain & Divver Inc 428 Howard Bldg
136,EMPTY STREET,['cd1978/entry/1978_Page_82 (3)_12.png'],,Lenox Chemical Co Printery St
137,EMPTY STREET,"['cd1978/entry/1978_Page_83 (2)_47.png', 'cd1978/entry/1978_Page_83 (2)_48.png', 'cd1978/entry/1978_Page_83 (2)_49.png']",,"ST PIUS ROMAN CATHOLIC CHURCH Elmhurst Av And Eaton St (02906), Tel 751-4871"
138,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_83 (2)_69.png'],N/A,* St
139,"SCORE LESS THAN CUTOFF: WASHINGTON STREET BOSTON, MASS 02111,73.0,PROVIDENCE","['cd1978/entry/1978_Page_83 (3)_3.png', 'cd1978/entry/1978_Page_83 (3)_4.png', 'cd1978/entry/1978_Page_83 (3)_5.png', 'cd1978/entry/1978_Page_83 (3)_6.png']",WASHINGTON PL,"POLK RL & CO 600 WASHINGTON STREET BOSTON, MASS 02111 TELEPHONE (617) 426-6309"
140,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_84 (1)_64.png'],N/A,
141,"SCORE LESS THAN CUTOFF: MC heetnat Be Apt 808,54.0,PROVIDENCE","['cd1978/entry/1978_Page_84 (1)_86.png', 'cd1978/entry/1978_Page_84 (1)_87.png']",CHESTNUT ST,Dennis Rey 1 MC heetnat Be Apt 808
142,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_84 (3)_13.png'],N/A,Rhode Island Hearing Center Corliss Park
143,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_84 (3)_46.png'],N/A,2100 (See Index To Advertisers)
144,EMPTY STREET,['cd1978/entry/1978_Page_85 (2)_21.png'],,Brown University Boat House River Dr
145,EMPTY STREET,['cd1978/entry/1978_Page_85 (2)_22.png'],,Brown University Yacht Club River Dr
146,EMPTY STREET,['cd1978/entry/1978_Page_85 (2)_72.png'],,Narragansett Yacht Club River Dr
147,"SCORE LESS THAN CUTOFF: Greenville Av, Johnston, R I,78.0,PROVIDENCE","['cd1978/entry/1978_Page_85 (3)_32.png', 'cd1978/entry/1978_Page_85 (3)_33.png', 'cd1978/entry/1978_Page_85 (3)_34.png', 'cd1978/entry/1978_Page_85 (3)_35.png']",GREENVILLE AVE,"MILLER CHAS CO 484 Greenville Av, Johnston, R I (02919), Tels 231-0680 And 781-0600 (See Index To Advertisers)"
