,Street,Zip_Code,City
103,ANDERSON DR,2806,BARRINGTON
104,ANDREOZZI DR,2806,BARRINGTON
105,ANNAWAMSCUTT RD,2806,BARRINGTON
106,ANNIES WY,2806,BARRINGTON
107,ANOKA AV,2806,BARRINGTON
108,ANOKA AVE,2806,BARRINGTON
109,ANTHONY RD,2806,BARRINGTON
110,APPIAN WAY,2806,BARRINGTON
111,APPIAN WY,2806,BARRINGTON
112,APPLE TREE LN,2806,BARRINGTON
113,ARNOLD ST,2806,BARRINGTON
114,ARVIN AV,2806,BARRINGTON
115,ATLANTIC CRSG,2806,BARRINGTON
116,AZALEA CT,2806,BARRINGTON
117,BARNEYVILLE RD,2806,BARRINGTON
118,BARON RD,2806,BARRINGTON
119,BARRINGTON AV,2806,BARRINGTON
120,BARRINGTON AVE,2806,BARRINGTON
121,BARTON AV,2806,BARRINGTON
122,BAY AV,2806,BARRINGTON
123,BAY RD,2806,BARRINGTON
124,BAY SPRING AV,2806,BARRINGTON
125,BAY SPRING AVE,2806,BARRINGTON
126,BAYBERRY LN,2806,BARRINGTON
127,BEACH RD,2806,BARRINGTON
128,BEAVER RD,2806,BARRINGTON
129,BEECH TREE CT,2806,BARRINGTON
130,BELLA RD,2806,BARRINGTON
131,BELTON CIR,2806,BARRINGTON
132,BELTON DR,2806,BARRINGTON
133,BELVEDERE AV,2806,BARRINGTON
134,BERNARD AV,2806,BARRINGTON
135,BICKNELL AV,2806,BARRINGTON
136,BIRCH RD,2806,BARRINGTON
137,BITTERSWEET CT,2806,BARRINGTON
138,BLACK OAK DR,2806,BARRINGTON
139,BLANDING AV,2806,BARRINGTON
140,BLOUNT CIR,2806,BARRINGTON
141,BLUFF RD,2806,BARRINGTON
142,BOSWORTH ST,2806,BARRINGTON
143,BOURNE LN,2806,BARRINGTON
144,BOWDEN AV,2806,BARRINGTON
145,BOXWOOD CT,2806,BARRINGTON
146,BOYCE AV,2806,BARRINGTON
147,BRADFORD ST,2806,BARRINGTON
148,BRENTONWOOD AV,2806,BARRINGTON
149,BRIARFIELD RD,2806,BARRINGTON
150,BRIARWOOD DR,2806,BARRINGTON
151,BRICK POND DR,2806,BARRINGTON
152,BROADVIEW DR,2806,BARRINGTON
153,BROOK ST,2806,BARRINGTON
154,BROOKFIELD AV,2806,BARRINGTON
155,BROW ST,2806,BARRINGTON
156,BROWN AV,2806,BARRINGTON
157,BUCKINGHAM ST,2806,BARRINGTON
158,BULLOCK AV,2806,BARRINGTON
159,BULLOCK AVE,2806,BARRINGTON
160,BURKE AV,2806,BARRINGTON
161,BURKE ST,2806,BARRINGTON
162,BURR AV,2806,BARRINGTON
163,BYWAY RD,2806,BARRINGTON
164,CADY RD,2806,BARRINGTON
165,CALDARONE ST,2806,BARRINGTON
166,CANDLEBERRY RD,2806,BARRINGTON
167,CANDY CT,2806,BARRINGTON
168,CARLTON ST,2806,BARRINGTON
169,CARPENTER AV,2806,BARRINGTON
170,CARRIAGE TRL,2806,BARRINGTON
171,CARVER RD,2806,BARRINGTON
172,CEDAR AV,2806,BARRINGTON
173,CENTENNIAL AV,2806,BARRINGTON
174,CENTENNIAL AVE,2806,BARRINGTON
175,CENTRAL AV,2806,BARRINGTON
176,CHACHAPACASSETT RD,2806,BARRINGTON
177,CHANTILLY DR,2806,BARRINGTON
178,CHAPEL RD,2806,BARRINGTON
179,CHAPIN RD,2806,BARRINGTON
180,CHAPMAN LN,2806,BARRINGTON
181,CHARLES ST,2806,BARRINGTON
182,CHERRY LN,2806,BARRINGTON
183,CHESHIRE DR,2806,BARRINGTON
184,CHRISTINE DR,2806,BARRINGTON
185,CHURCH ST,2806,BARRINGTON
186,CIRCLE DR,2806,BARRINGTON
187,CLAREMONT RD,2806,BARRINGTON
188,CLARKE RD,2806,BARRINGTON
189,CLOVER LN,2806,BARRINGTON
190,COLD SPRING RD,2806,BARRINGTON
191,COLLEGE LN,2806,BARRINGTON
192,COLLEY CT,2806,BARRINGTON
193,COLLINS CT,2806,BARRINGTON
194,COLONIAL AV,2806,BARRINGTON
195,COLTON DR,2806,BARRINGTON
196,COLUMBUS AV,2806,BARRINGTON
197,COMMONWEALTH AV,2806,BARRINGTON
198,CONGRESS RD,2806,BARRINGTON
199,CONNECTICUT AV,2806,BARRINGTON
200,CONNORS LN,2806,BARRINGTON
201,CONWAY DR,2806,BARRINGTON
202,COPPER KETTLE LN,2806,BARRINGTON
203,COTTAGE ST,2806,BARRINGTON
204,COUNTY RD,2806,BARRINGTON
205,COURT AV,2806,BARRINGTON
206,COVE AVE,2806,BARRINGTON
207,CRAIG DR,2806,BARRINGTON
208,CRANBERRY CT,2806,BARRINGTON
209,CRESTWOOD RD,2806,BARRINGTON
210,CROSSWAYS ST,2806,BARRINGTON
211,CROWN AV,2806,BARRINGTON
212,DANA RD,2806,BARRINGTON
213,DANTE ST,2806,BARRINGTON
214,DEEP MEADOW RD,2806,BARRINGTON
215,DEERFIELD DR,2806,BARRINGTON
216,DESPIRITO LN,2806,BARRINGTON
217,DEVONSHIRE DR,2806,BARRINGTON
218,DEXTER ST,2806,BARRINGTON
219,DOANE RD,2806,BARRINGTON
220,DONALD ROSS RD,2806,BARRINGTON
221,DRIFTWOOD LN,2806,BARRINGTON
222,DRISCOLL LN,2806,BARRINGTON
223,DUCK COVE LN,2806,BARRINGTON
224,EAST SPRING ST,2806,BARRINGTON
225,EAST SIDE DR,2806,BARRINGTON
226,ECHO DR,2806,BARRINGTON
227,EDGEWOOD DR,2806,BARRINGTON
228,EDWIN ST,2806,BARRINGTON
229,ELEANOR DR,2806,BARRINGTON
230,ELIZABETH RD,2806,BARRINGTON
231,ELLIS ST,2806,BARRINGTON
232,ELM LN,2806,BARRINGTON
233,ELTON RD,2806,BARRINGTON
234,ERNEST ST,2806,BARRINGTON
235,ETON RD,2806,BARRINGTON
236,EVERGREEN ST,2806,BARRINGTON
237,FAIRFIELD RD,2806,BARRINGTON
238,FAIRVIEW CIR,2806,BARRINGTON
239,FAIRWAY DR,2806,BARRINGTON
240,FALES AV,2806,BARRINGTON
241,FEDERAL RD,2806,BARRINGTON
242,FERNCLIFFE RD,2806,BARRINGTON
243,FERRIER AV,2806,BARRINGTON
244,FERRY LN,2806,BARRINGTON
245,FESSENDEN RD,2806,BARRINGTON
246,FIELD LN,2806,BARRINGTON
247,FIRESIDE DR,2806,BARRINGTON
248,FIRST ST,2806,BARRINGTON
249,FOOTE ST,2806,BARRINGTON
250,FOSTER ST,2806,BARRINGTON
251,FOUNTAIN AV,2806,BARRINGTON
252,FOURTH ST,2806,BARRINGTON
253,FRANCIS ST,2806,BARRINGTON
254,FREDERICK DR,2806,BARRINGTON
255,FREEMONT AV,2806,BARRINGTON
256,GEORGE ST,2806,BARRINGTON
257,GEORGE WEST FINNERTY RD,2806,BARRINGTON
258,GIBBS LN,2806,BARRINGTON
259,GLEN AV,2806,BARRINGTON
260,GLENFIELD RD,2806,BARRINGTON
261,GOVERNOR BRADFORD DR,2806,BARRINGTON
262,GRANT ST,2806,BARRINGTON
263,GRASSY PLAIN RD,2806,BARRINGTON
264,GREAT RD,2806,BARRINGTON
265,GREENBRIER DR,2806,BARRINGTON
266,GREENE AV,2806,BARRINGTON
267,GREENVILLE DR,2806,BARRINGTON
268,GREENWOOD AV,2806,BARRINGTON
269,GREENWOOD AVE,2806,BARRINGTON
270,GREGORY CT,2806,BARRINGTON
271,GROVE ST,2806,BARRINGTON
272,HAINES PARK RD,2806,BARRINGTON
273,HALF MILE RD,2806,BARRINGTON
274,HAMILTON AV,2806,BARRINGTON
275,HAMILTON DR,2806,BARRINGTON
276,HAMPDEN ST,2806,BARRINGTON
277,HANCOCK RD,2806,BARRINGTON
278,HANSON RD,2806,BARRINGTON
279,HARBOUR RD,2806,BARRINGTON
280,HAROLD ST,2806,BARRINGTON
281,HARRISON AV,2806,BARRINGTON
282,HART LN,2806,BARRINGTON
283,HAWTHORNE AV,2806,BARRINGTON
284,HAZELTON RD,2806,BARRINGTON
285,HEARTHWOOD DR,2806,BARRINGTON
286,HEATHER WY,2806,BARRINGTON
287,HEMLOCK DR,2806,BARRINGTON
288,HENRY DR,2806,BARRINGTON
289,HERITAGE RD,2806,BARRINGTON
290,HICKORY LN,2806,BARRINGTON
291,HIGH ST,2806,BARRINGTON
292,HIGHLAND AVE,2806,BARRINGTON
293,HIGHVIEW AV,2806,BARRINGTON
294,HILLSIDE AVE,2806,BARRINGTON
295,HILLTOP AV,2806,BARRINGTON
296,HOFFMAN LN,2806,BARRINGTON
297,HOLLY LN,2806,BARRINGTON
298,HOMESTEAD AV,2806,BARRINGTON
299,HONEYSUCKLE CT,2806,BARRINGTON
300,HOPE CT,2806,BARRINGTON
301,HOPE LN,2806,BARRINGTON
302,HOUGHTON ST,2806,BARRINGTON
303,HOWARD ST,2806,BARRINGTON
304,HUMPHREYS RD,2806,BARRINGTON
305,HUNT DR,2806,BARRINGTON
306,IDA CT,2806,BARRINGTON
307,INDIGO RD,2806,BARRINGTON
308,JENKS GARDEN LN,2806,BARRINGTON
309,JENNYS LN,2806,BARRINGTON
310,JESSE DAVIS LN,2806,BARRINGTON
311,JOANN DR,2806,BARRINGTON
312,JOHN ST,2806,BARRINGTON
313,JONES CIR,2806,BARRINGTON
314,JOSAL DR,2806,BARRINGTON
315,JOY ST,2806,BARRINGTON
316,JOYCE ST,2806,BARRINGTON
317,JUNIPER ST,2806,BARRINGTON
318,KAREN DR,2806,BARRINGTON
319,KENMORE CT,2806,BARRINGTON
320,KENT ST,2806,BARRINGTON
321,KING PHILIP AV,2806,BARRINGTON
322,KINGS GATE RD,2806,BARRINGTON
323,KIRBY ST,2806,BARRINGTON
324,KNAPTON ST,2806,BARRINGTON
325,KYLE ST,2806,BARRINGTON
326,LAFAYETTE CT,2806,BARRINGTON
327,LAFAYETTE RD,2806,BARRINGTON
328,LAKE AV,2806,BARRINGTON
329,LAKE AVE,2806,BARRINGTON
330,LAMSON RD,2806,BARRINGTON
331,LANTERN LN,2806,BARRINGTON
332,LATHAM AVE,2806,BARRINGTON
333,LAUREL LN,2806,BARRINGTON
334,LEDGE RD,2806,BARRINGTON
335,LEE ANN DR,2806,BARRINGTON
336,LEE RD,2806,BARRINGTON
337,LEGION WY,2806,BARRINGTON
338,LESLIE AV,2806,BARRINGTON
339,LEWIS ST,2806,BARRINGTON
340,LIBBY LN,2806,BARRINGTON
341,LIGHTHOUSE LN,2806,BARRINGTON
342,LILLIS AV,2806,BARRINGTON
343,LINCOLN AV,2806,BARRINGTON
344,LINCOLN AVE,2806,BARRINGTON
345,LINDEN RD,2806,BARRINGTON
346,LISTER DR,2806,BARRINGTON
347,LITTLE LN,2806,BARRINGTON
348,LORRAINE ST,2806,BARRINGTON
349,MAGNOLIA LN,2806,BARRINGTON
350,MALLARD COVE WAY,2806,BARRINGTON
351,MALLARD COVE WY,2806,BARRINGTON
352,MANNING DR,2806,BARRINGTON
353,MANOR RD,2806,BARRINGTON
354,MAPLE AV,2806,BARRINGTON
355,MAPLE AVE,2806,BARRINGTON
356,MARKWOOD DR,2806,BARRINGTON
357,MARTHA CIR,2806,BARRINGTON
358,MARTIN AV,2806,BARRINGTON
359,MARTIN AVE,2806,BARRINGTON
360,MASON RD,2806,BARRINGTON
361,MASSACHUSETTS AV,2806,BARRINGTON
362,MASSASOIT AV,2806,BARRINGTON
363,MASSASOIT AVE,2806,BARRINGTON
364,MATHEWSON LN,2806,BARRINGTON
365,MATHEWSON RD,2806,BARRINGTON
366,MAUDSLEY AV,2806,BARRINGTON
367,MAXFIELD CT,2806,BARRINGTON
368,MAYFIELD RD,2806,BARRINGTON
369,MEADOW CIR,2806,BARRINGTON
370,MEADOWBROOK DR,2806,BARRINGTON
371,MELROSE AV,2806,BARRINGTON
372,METROPOLITAN PARK DR,2806,BARRINGTON
373,MIDDLE HWY,2806,BARRINGTON
374,MIDDLE ST,2806,BARRINGTON
375,MILLER ST,2806,BARRINGTON
376,MILTON RD,2806,BARRINGTON
377,MOSHER DR,2806,BARRINGTON
378,MYLES ST,2806,BARRINGTON
379,NORTH LAKE DR,2806,BARRINGTON
380,NARRAGANSETT AV,2806,BARRINGTON
381,NARRAGANSETT AVE,2806,BARRINGTON
382,NATHANIEL RD,2806,BARRINGTON
383,NAYATT POINT CT,2806,BARRINGTON
384,NAYATT RD,2806,BARRINGTON
385,NEW HAMPSHIRE AV,2806,BARRINGTON
386,NEW MEADOW RD,2806,BARRINGTON
387,NEWBROOK DR,2806,BARRINGTON
388,NOBLE AV,2806,BARRINGTON
389,NORTH LN,2806,BARRINGTON
390,NORTHWEST PASSAGE,2806,BARRINGTON
391,OAK GROVE AV,2806,BARRINGTON
392,OAK MANOR DR,2806,BARRINGTON
393,OCEAN AV,2806,BARRINGTON
394,OLD CHIMNEY CONNECTOR RD,2806,BARRINGTON
395,OLD CHIMNEY RD,2806,BARRINGTON
396,OLD COUNTY RD,2806,BARRINGTON
397,OLD FORGE RD,2806,BARRINGTON
398,OLD RIVER RD,2806,BARRINGTON
399,OLIVE LN,2806,BARRINGTON
400,OPECHEE DR,2806,BARRINGTON
401,ORCHARD AV,2806,BARRINGTON
402,ORMAND DR,2806,BARRINGTON
403,OVERLOOK RD,2806,BARRINGTON
404,OWENS LN,2806,BARRINGTON
405,OWINGS STONE RD,2806,BARRINGTON
406,OXFORD RD,2806,BARRINGTON
407,OYSTER SHELL LN,2806,BARRINGTON
408,PALISADE LN,2806,BARRINGTON
409,PALMER LN,2806,BARRINGTON
410,PALMER ST,2806,BARRINGTON
411,PAQUIN RD,2806,BARRINGTON
412,PARK AV,2806,BARRINGTON
413,PAYNE RD,2806,BARRINGTON
414,PECK AV,2806,BARRINGTON
415,PECK LN,2806,BARRINGTON
416,PEZZULLO AV,2806,BARRINGTON
417,PHEASANT LN,2806,BARRINGTON
418,PHILLIPS ST,2806,BARRINGTON
419,PIERCE CT,2806,BARRINGTON
420,PINE AV,2806,BARRINGTON
421,PINE CONE DR,2806,BARRINGTON
422,PINETOP RD,2806,BARRINGTON
423,PLEASANT ST,2806,BARRINGTON
424,PLYMOUTH DR,2806,BARRINGTON
425,PRESTON DR,2806,BARRINGTON
426,PRIMROSE HILL RD,2806,BARRINGTON
427,PRIMROSE ST,2806,BARRINGTON
428,PRINCE'S HILL AV,2806,BARRINGTON
429,PRINCE'S HILL AVE,2806,BARRINGTON
430,PRISCILLA DR,2806,BARRINGTON
431,PROMENADE ST,2806,BARRINGTON
432,PROSPECT ST,2806,BARRINGTON
433,PURITAN DR,2806,BARRINGTON
434,QUINCY ADAMS RD,2806,BARRINGTON
435,RAYMOND ST,2806,BARRINGTON
436,READ AV,2806,BARRINGTON
437,REDWING ST,2806,BARRINGTON
438,REGAL PT,2806,BARRINGTON
439,RICHARD ST,2806,BARRINGTON
440,RICHMOND AV,2806,BARRINGTON
441,RIDGELAND RD,2806,BARRINGTON
442,RIDGEWOOD RD,2806,BARRINGTON
443,RIO RD,2806,BARRINGTON
444,RIVER OAK RD,2806,BARRINGTON
445,RIVERSIDE DR,2806,BARRINGTON
446,RIVERVIEW DR,2806,BARRINGTON
447,ROBBINS DR,2806,BARRINGTON
448,ROBERTA DR,2806,BARRINGTON
449,RODEO DR,2806,BARRINGTON
450,ROFFEE ST,2806,BARRINGTON
451,ROGERS AV,2806,BARRINGTON
452,ROGERS AVE,2806,BARRINGTON
453,RONALD RD,2806,BARRINGTON
454,ROSE LN,2806,BARRINGTON
455,ROSEDALE AV,2806,BARRINGTON
456,RUMSTICK CIR,2806,BARRINGTON
457,RUMSTICK DR,2806,BARRINGTON
458,RUMSTICK RD,2806,BARRINGTON
459,RUSTWOOD DR,2806,BARRINGTON
460,SOUTH LAKE DR,2806,BARRINGTON
461,SOUTH MEADOW LN,2806,BARRINGTON
462,SACHEM RD,2806,BARRINGTON
463,SAKONNET DR,2806,BARRINGTON
464,SALISBURY RD,2806,BARRINGTON
465,SAMOSET AV,2806,BARRINGTON
466,SANDY POINT RD,2806,BARRINGTON
467,SCHOOL LN,2806,BARRINGTON
468,SEABROOK CT,2806,BARRINGTON
469,SEAVIEW DR,2806,BARRINGTON
470,SECOND ST,2806,BARRINGTON
471,SEVEN OAKS DR,2806,BARRINGTON
472,SHADY LN,2806,BARRINGTON
473,SHERBROOKE RD,2806,BARRINGTON
474,SHERWOOD LN,2806,BARRINGTON
475,SHORE DR,2806,BARRINGTON
476,SHORT RD,2806,BARRINGTON
477,SIMMONS RD,2806,BARRINGTON
478,SIXTH ST,2806,BARRINGTON
479,SMITH ST,2806,BARRINGTON
480,SOUTH LN,2806,BARRINGTON
481,SOUTH ST,2806,BARRINGTON
482,SOWAMS RD,2806,BARRINGTON
483,SPINDRIFT WY,2806,BARRINGTON
484,SPINNAKER DR,2806,BARRINGTON
485,SPRING AV,2806,BARRINGTON
486,SPRING AVE,2806,BARRINGTON
487,SPRUCE ST,2806,BARRINGTON
488,ST ANDREWS WY,2806,BARRINGTON
489,STACY ST,2806,BARRINGTON
490,STANDISH AV,2806,BARRINGTON
491,STANHOPE DR,2806,BARRINGTON
492,STANLEY AV,2806,BARRINGTON
493,STARBOARD LN,2806,BARRINGTON
494,STARBROOK DR,2806,BARRINGTON
495,STONE TOWER LN,2806,BARRINGTON
496,STRATFORD RD,2806,BARRINGTON
497,STRAWBERRY DR,2806,BARRINGTON
498,SULLIVAN TER,2806,BARRINGTON
499,SUNSET DR,2806,BARRINGTON
500,SURREY RD,2806,BARRINGTON
501,SWEETBRIAR RD,2806,BARRINGTON
502,SYLVESTER ST,2806,BARRINGTON
503,TALCOTT ST,2806,BARRINGTON
504,TALL PINES DR,2806,BARRINGTON
505,TALLWOOD DR,2806,BARRINGTON
506,TANGLEWOOD DR,2806,BARRINGTON
507,TEAKWOOD DR,2806,BARRINGTON
508,TEED AV,2806,BARRINGTON
509,TEED AVE,2806,BARRINGTON
510,TELFORD RD,2806,BARRINGTON
511,TERRACE DR,2806,BARRINGTON
512,THIRD ST,2806,BARRINGTON
513,THOMAS ST,2806,BARRINGTON
514,TIFFANY CIR,2806,BARRINGTON
515,TOWNSEND ST,2806,BARRINGTON
516,TYLER POINT RD,2806,BARRINGTON
517,UPLAND WY,2806,BARRINGTON
518,VALENTINE CIR,2806,BARRINGTON
519,VALENTINE DR,2806,BARRINGTON
520,VANS LN,2806,BARRINGTON
521,VERITAS WY,2806,BARRINGTON
522,VERMONT AV,2806,BARRINGTON
523,VERNON PL,2806,BARRINGTON
524,VERO CT,2806,BARRINGTON
525,VETERANS PARK RD,2806,BARRINGTON
526,VIALLS DR,2806,BARRINGTON
527,VINCENT PAUL DR,2806,BARRINGTON
528,VINELAND DR,2806,BARRINGTON
529,VINEYARD LN,2806,BARRINGTON
530,VIRGINIA RD,2806,BARRINGTON
531,WALDRON AV,2806,BARRINGTON
532,WALKER FARM LN,2806,BARRINGTON
533,WALLIS AV,2806,BARRINGTON
534,WALLIS AVE,2806,BARRINGTON
535,WALNUT RD,2806,BARRINGTON
536,WALSH AV,2806,BARRINGTON
537,WALTER ST,2806,BARRINGTON
538,WAMPANOAG TRL,2806,BARRINGTON
539,WAMSUTTA AV,2806,BARRINGTON
540,WASECA AV,2806,BARRINGTON
541,WASECA AVE,2806,BARRINGTON
542,WASHINGTON RD,2806,BARRINGTON
543,WATER WY,2806,BARRINGTON
